Topic,Words,Frequency,Class
98,"private school, private, solon, public, public school",21,high_fb
99,"clark, lewis, roseville, roseville high, high",67,high_fb
100,"lchs, lca, lc, lcs, lcc",20,high_fb
101,"ridge, ridgeview, fossil, fossil ridge, ridgeway",18,high_fb
102,"franklin, franklin high, fra, high, franklin great",43,high_fb
103,"arab, arab high, islamic, arab school, islam",9,high_fb
104,"river, james river, riverview, james, indian river",21,high_fb
105,"drugs, drug, drug problem, problem, drug use",222,high_fb
106,"summit, summit high, summit school, high, everest",19,high_fb
107,"mchs, mcdevitt, mcs, mcminn, mckean",40,high_fb
108,"highland, highlands, highland park, highland high, school highland",34,high_fb
109,"send, send child, child school, sending, don send",34,high_fb
110,"echs, ec, ecs, experience echs, eca",25,high_fb
111,"south, southridge, south high, southside, high",105,high_fb
112,"going donation, donation emails, needs information, great feed, weekly events",1,high_fb
113,"hillcrest, pinecrest, hillcrest high, eaglecrest, oakcrest",27,high_fb
114,"bca, bchs, bcs, bcc, bc",21,high_fb
115,"simple live, hesitation definitely, level simple, aloud hesitation, definitely refreshing",2,high_fb
116,"meadowcreek, meadowbrook, meadowcreek high, meadows, meadow",15,high_fb
117,"food, lunch, school lunch, good, culinary",29,high_fb
118,"principle, vice principles, north springs, new principle, principles",8,high_fb
119,"achs, achs great, aca, acs, lake county",7,high_fb
120,"college, classes, high school, high, ap",82,high_fb
121,"pchs, pca, pcn, pcti, pc",9,high_fb
122,"hhs, hths, hf, hhs really, attending hhs",25,high_fb
123,"supporter sports, voicemail single, building tends, arts administrator, administrator single",2,high_fb
124,"lm, lshs, lmhs, lrhs, lms",17,high_fb
125,"mountain, mountain view, view, shadow mountain, shadow",37,high_fb
126,"hchs, hca, orienteering, orienteering team, njrotc orienteering",7,high_fb
127,"georgia, atlanta, ga, north atlanta, glynn academy",59,high_fb
128,"vanguard, ross, vanguard time, weir failing, vanguard lot",2,high_fb
129,"fairview, ross, fairmont, fairhope, bayside academy",16,high_fb
130,"liberty, liberty high, liberty middle, school liberty, love liberty",32,high_fb
131,"beautiful handsome, sacred, sacred heart, handsome, heart",1,high_fb
132,"pine, pine view, view, piner, collingswood",15,high_fb
133,"madison, olympia, huntsville, madison schools, madison high",58,high_fb
134,"heritage, coconino, coconino high, american heritage, heritage high",21,high_fb
135,"thank, northglenn high, northglenn, spine, like thank",6,high_fb
136,"homework, hw, night, policy, homework policy",22,high_fb
137,"tchs, tc, tcs, tca, tcchs",22,high_fb
138,"freedom, nova, eisenhower, freedom high, dwight",29,high_fb
140,"occurrence parent, constant occurrence, petersburg high, fights constant, st petersburg",1,high_fb
141,"washington, washington high, booker washington, booker, washington great",15,high_fb
142,"suncoast, sunset, sunrise, sunnyside, setka",12,high_fb
143,"east, eastern, eastside, east high, east great",78,high_fb
144,"stratford, quest, stratford high, challenger, spring woods",23,high_fb
145,"eagle, eagles, bird, eagle high, eagle rock",21,high_fb
146,"nc, nchs, ncs, nca, nccs",15,high_fb
147,"beacon, bridge, bridges, great bridge, kids beacon",16,high_fb
148,"smhs, sm, sma, sme, smyrna",24,high_fb
149,"st francis, francis, st, think st, picture definitely",2,high_fb
150,"ipads, ipad, technology, use, chromebooks",23,high_fb
151,"wilson, woodrow, wilson high, tahoe, school wilson",36,high_fb
153,"tigers, tiger, bethesda, oscar smith, oscar",16,high_fb
154,"fchs, fc, fca, fcs, fc really",11,high_fb
155,"dyslexia, dyslexic, stuttering, symptoms, diagnosed",7,high_fb
156,"avondale, riverdale, hillsdale, avon, urbandale",31,high_fb
159,"mcas, mca, mcas good, good mcas, mcauliffe",7,high_fb
160,"brookwood, brookfield, brook, clear brook, brookfield high",14,high_fb
161,"county, best, alleghany, school county, county best",22,high_fb
162,"thomas dale, dale, thomas, choose, engaged choose",2,high_fb
163,"hawaii, chiawana, pahoa, best public, misconduct",8,high_fb
164,"davis, richmond, davis high, ben davis, richmond academy",28,high_fb
165,"canyon, north canyon, canyon high, north, started ib",16,high_fb
166,"mshs, msa, mshs great, mshs excellent, immersion school",11,high_fb
167,"blue ribbon, ribbon, blue, ribbon school, national blue",12,high_fb
168,"german, germantown, germantown schools, german teacher, goethe",16,high_fb
169,"roosevelt, roosevelt high, school roosevelt, rhs, roosevelt school",26,high_fb
171,"carden, teachers cardozo, vinci law, dominantly law, cardozo amazing",1,high_fb
172,"lebanon, mckinley, lebanon high, mt lebanon, atlas",21,high_fb
173,"mvhs, mvhs pretty, mvhs years, mv, mvca",8,high_fb
174,"kennedy, jfk, langley, poe, kennedy high",29,high_fb
175,"saints home, award int, really beter, orleans saints, int best",1,high_fb
176,"lakeside, cypress, cypress bay, school lakeside, cy",40,high_fb
177,"providence, providence great, phs, school providence, honors college",13,high_fb
178,"vegas, las vegas, nevada, las, reno",31,high_fb
179,"experience school, experience, great experience, pretty experience, good experience",29,high_fb
180,"glen, village glen, sidney, glenwood, glenbard",21,high_fb
181,"wrestling, state caliber, fame coach, mma hall, caliber wrestling",1,high_fb
182,"dchs, dc, pathetic excuse, dca, douglas county",7,high_fb
183,"launch adulthood, excellent camas, privilidges kids, montana environment, camas keeps",4,high_fb
184,"evergreen, evhs, evergreen valley, valley high, school evergreen",12,high_fb
185,"rchs, college peers, births rockbridge, institutions surprised, rck great",4,high_fb
