feature,importance,std
"topic_39 (military, military family, military families)",0.0015297925522027912,0.0002879651037681487
"topic_0 (bullying, bullied, bully)",0.0013971316541610546,9.863881029730362e-05
"topic_162 (bay, bayview, bay area)",0.0013557139460204203,0.00029710048792409697
"topic_253 (bishop, archbishop, luers)",0.0013425618773533765,0.0004130717290777355
"topic_224 (smith, smith school, smithfield)",0.0013363558418648558,0.0002051454032678219
"topic_136 (east, eastern, eastside)",0.0013287655704813273,0.00022007251827973546
"topic_12 (kindergarten, preschool, kindergarten year)",0.0012950403721891934,0.00018225110628294805
"topic_99 (south, southside, south lake)",0.0012478873668719027,0.00021379510086912994
"topic_46 (adhd, son adhd, child adhd)",0.0012392415322726614,0.00036752286993961856
"topic_193 (substitute, substitute teacher, sub)",0.0012314847537800433,0.00018908450318912032
"topic_33 (que, escuela, en)",0.0012256633478464174,0.00020623204286630324
"topic_84 (ridge, ridgeview, ridgeway)",0.0012185927226841752,0.00034315071323263183
"topic_279 (pros, cons, pro)",0.0012147791407458696,0.00020971168369370938
"topic_215 (yes yes, ok ok, quandale dingle)",0.0011626097055456252,0.00016331788446127083
"topic_163 (blue, ribbon, blue ribbon)",0.0011378050504082249,0.00022794808969954419
"topic_139 (ipads, ipad, technology)",0.0011200528676099885,0.0002471370081259457
"topic_5 (pta, pto, active)",0.0010212981420804957,0.00011958531598789698
"topic_148 (care children, care kids, helped)",0.0009854755594660425,0.0002736883278547855
"topic_274 (hope, hopewell, hope academy)",0.0009748914095319416,0.0001488783225562286
"topic_57 (valley, valley view, view)",0.0009638073403407166,0.0001576490860838413
"topic_116 (georgia, atlanta, ga)",0.0009615518339316398,0.00012672718157953684
"topic_214 (daycare, infant, day care)",0.0009411412311142953,0.00031858479579847075
"topic_188 (miami, dade, school miami)",0.0009072810888655746,0.00018730104010340385
"topic_89 (hhs, hfs, hta)",0.0008944471975053436,0.00017393169524645128
"topic_281 (jackson, jackson elementary, school jackson)",0.0008775958078888202,0.0002718825600774569
"topic_78 (green, greene, greenbrier)",0.0007902984671522395,0.00018241152825667844
"topic_87 (thank, want thank, thankful)",0.0007511412210403301,0.00015445235699593503
"topic_135 (la, los, angeles)",0.0007501369998207496,0.00020049803826864738
"topic_285 (mount, mtc, mta)",0.0007451294727017554,0.0002644262080889445
"topic_240 (cps, cpa, cp)",0.0007138209553535724,0.00021098455041265352
"topic_251 (kennedy, jfk, john kennedy)",0.0006982969849829934,0.0002811934825766543
"topic_59 (french, french immersion, lycee)",0.0006611864296584225,8.52436340680667e-05
"topic_95 (mountain, mountain view, view)",0.0006378421160764258,0.0001535990337442853
"topic_88 (homework, hours, night)",0.0006089852489318037,0.00013250215702242458
"topic_40 (ps, ps 37, 37)",0.0005866595974217681,0.00016714680002077184
"topic_61 (autism, autistic, autism spectrum)",0.0005806142364810252,0.00013156022829414774
"topic_41 (st mary, mary, st)",0.0005759563838748316,0.00022286738664569982
"topic_202 (cambridge, cambridge program, cambridge school)",0.0005520284104458262,0.00023252950684759255
"topic_69 (lincoln, lincoln school, lincoln elementary)",0.0005511298687349453,0.00017042271570017132
"topic_185 (homeschooling, homeschool, homeschooled)",0.0005165730476651587,9.765496875584555e-05
"topic_93 (river, riverview, riverbend)",0.0005030298109425346,0.00012509257658115336
"topic_70 (park, parkview, parkside)",0.0005013370966380881,0.00015495384258277104
"topic_111 (st john, john, st)",0.0004982460912189235,0.00020546516147262528
"topic_123 (heritage, american heritage, american)",0.00046783809766236527,8.750060594654442e-05
"topic_252 (davis, davis elementary, davis great)",0.0004227583681822189,0.00014455089488669048
"topic_129 (vista, vistamar, vista academy)",0.0004004991302885896,0.00011232543328876682
"topic_121 (sacred, sacred heart, heart)",0.00036948844728083017,0.00011801336274981561
"topic_42 (lake, lakeview, lakewood)",0.0003418506807731037,4.2412489227729766e-05
"topic_280 (lewis, clark, lewis school)",0.00033178222729912665,6.986476652787897e-05
"topic_44 (k5, k4, went)",0.0003232686582074873,9.18442387340013e-05
"topic_134 (washington, washington school, washington elementary)",0.0003044181549625713,7.123030177501373e-05
"topic_98 (food, lunch, lunches)",0.0002987990184624145,5.198814431257078e-05
"topic_63 (mrs, ms, teacher mrs)",0.00029152783165307115,3.541202517225995e-05
"topic_197 (lgbtq, gay, lgbt)",0.0002615323103434597,8.466022514816275e-05
"topic_169 (poor, leadership, administration)",0.0002550899298795706,8.410983219669689e-05
"topic_36 (creek, creek elementary, creekside)",0.0002527250426700545,9.793329086177791e-05
"topic_203 (notre dame, notre, dame)",0.0002462879290113795,0.00010383959181583885
"topic_152 (st thomas, thomas, st)",0.00024187945317001304,0.00013585369197935624
"topic_204 (went, children went, love kids)",0.0002305823418566333,6.832011495110569e-05
"topic_74 (phoenix, arizona, tucson)",0.00022414287731383764,7.212469582027212e-05
"topic_159 (hawaii, hawaiian, hanalani)",0.00020966790381121703,7.859025308720189e-05
"topic_256 (ranch, augusta, ranch elementary)",0.00018854513762206482,6.24190679220059e-05
"topic_157 (ocean, bayshore, seas)",0.00018123194796292318,9.476113869213205e-05
"topic_175 (vegas, las vegas, las)",0.00017632884684271044,8.498546822442633e-05
"topic_104 (academy, academy great, inspire)",0.00016875688252939724,1.7196750721693085e-05
"topic_294 (palm, palms, royal palm)",0.00016649140160585052,4.5139221933930336e-05
"topic_145 (eagle, eagles, eagle academy)",0.0001636645621210242,7.553201345260574e-05
"topic_255 (hills, seven hills, hill)",0.000151837457728754,4.501726743753403e-05
"topic_172 (roosevelt, roosevelt school, roosevelt great)",0.0001494223029665731,6.498946179119128e-05
"topic_286 (prince, peace, prince peace)",0.00014863365089980984,2.1383360515444766e-05
"topic_198 (st mark, mark, st marks)",0.00014587593185166892,3.8652017593794696e-05
"topic_149 (brookfield, brook, brook hill)",0.0001450330247536935,4.4739554315047666e-05
"topic_260 (athens, greek, plato)",0.00014325685495023555,6.853553822207514e-05
"topic_292 (nashville, tennessee, marion)",0.00014214676409193271,8.61937755405162e-05
"topic_105 (franklin, franklin academy, franklin school)",0.0001284849517937725,5.1978851526484235e-05
"topic_20 (catholic, catholic school, catholic schools)",0.00012718848288189032,3.8621479017762286e-05
"topic_122 (madison, huntsville, olympia)",0.0001221728089527474,2.8497510126002592e-05
"topic_225 (st james, james, saint james)",0.00012112367898107213,5.0496701861310734e-05
"topic_90 (holy, holy family, holy spirit)",0.0001094789318915379,8.48675835284415e-05
"topic_153 (fcs, fca, fchs)",0.00010841743703553508,5.7488418689268256e-05
"topic_177 (ese, esl, ese program)",0.00010826721084673529,5.1550071612103935e-05
"topic_295 (anderson, anderson school, andersen)",9.941912060414947e-05,2.25176256077244e-05
"topic_100 (highland, highlands, highland park)",9.51878613239865e-05,3.888027266427998e-05
"topic_284 (village, village school, village academy)",9.377062545495862e-05,2.3226363500742785e-05
"topic_150 (king, christ king, kings)",9.024607820190544e-05,1.9690910924218756e-05
"topic_141 (wilson, woodrow, wilson hall)",8.918558848081126e-05,4.579154627938999e-05
"topic_32 (oak, oaks, oakwood)",7.148543020863984e-05,3.787093032426349e-05
"topic_133 (canyon, copper, bell canyon)",6.863863253291358e-05,3.0356934439733384e-05
"topic_67 (reading, read, reading program)",6.602248389248055e-05,3.303439784799156e-05
"topic_58 (mandarin, chinese, immersion)",6.217384519274782e-05,4.696925841786936e-05
"topic_216 (rock, solid rock, rock academy)",5.645069235022948e-05,2.855189203050143e-05
"topic_194 (edison, la reina, reina)",5.450045096134781e-05,4.4382655959300423e-05
"topic_82 (grace, grace christian, grace school)",5.1267119559228466e-05,2.889494950397821e-05
"topic_119 (jefferson, jefferson elementary, thomas jefferson)",5.119623688819575e-05,2.5414232459907654e-05
"topic_103 (fundraisers, fundraising, money)",4.822051956488993e-05,2.431965422391577e-05
"topic_217 (forest, forest hills, woods)",4.5340844767094435e-05,9.951027025095234e-06
"topic_259 (riverside, riverside elementary, school riverside)",4.3947826921697517e-05,2.1892425336606555e-05
"topic_266 (pes, pe, pe program)",3.3773402527204063e-05,2.4956576476832873e-05
"topic_208 (horizon, new horizon, echo)",2.7305273880451342e-05,2.5880586981784386e-05
"topic_186 (bridges, bridge, bridgeway)",2.57490573417396e-05,1.8575852251820274e-05
"topic_237 (desert, desert view, desert heights)",2.5665308967859346e-05,1.0686354316131303e-05
"topic_183 (pine, pinewood, pine view)",2.0104561860245784e-05,1.6291123360713965e-05
