topic_id,size,share,mean_words,keywords
63,896,0.0014,81.4,"whittier, wms, wns, whs, wps, whitby, community, great, wlca, children"
64,894,0.0014,61.4,"office, rude, office staff, desk, staff rude, staff, ladies, lady, office rude, attitude"
65,893,0.0014,120.7,"french, french immersion, immersion, language, lycee, lila, english, france, speak french, american"
66,893,0.0014,82.4,"prep, preparatory, college, college prep, prep school, preparatory academy, college preparatory, girls prep, preparatory school, girls"
67,868,0.0014,11.0,"horrible, terrible, worst, bad, awful, horrible horrible, experience, worst worst, worst experience, life"
68,850,0.0014,115.1,"mandarin, chinese, immersion, mandarin immersion, immersion program, program, language, english, chinese immersion, mandarin program"
69,836,0.0014,94.9,"joseph, st joseph, st, st joe, joe, joseph school, saint joseph, catholic, joes, st joes"
70,835,0.0014,77.1,"tma, tk, tmsa, tms, tls, tj, tes, tps, turning point, cta"
71,833,0.0013,80.2,"autism, autistic, son, spectrum, autism spectrum, son autism, high functioning, special, functioning, autism program"
72,805,0.0013,79.7,"la, el, los, angeles, los angeles, eldorado, lavelle, la pietra, pietra, school"
73,769,0.0012,71.9,"bathrooms, bathroom, dirty, food, restroom, disgusting, roaches, use, restrooms, water"
74,754,0.0012,84.5,"scs, sca, scds, scvi, sccs, sps, sphs, schs, sces, scl"
75,739,0.0012,49.2,"mrs, ms, teacher, teacher mrs, best, mr, best teacher, grade teacher, kindergarten teacher, kindergarten"
76,738,0.0012,82.3,"austin, texas, houston, san antonio, antonio, best, dallas, san, sam, schools"
77,722,0.0012,82.8,"st john, john, st, johns, st johns, john school, saint john, john great, family, children"
78,715,0.0012,82.1,"park, parkview, parkside, park day, park school, parkade, park view, day, community, children"
79,713,0.0012,83.7,"lincoln, lincoln school, lincoln elementary, school lincoln, love lincoln, lincoln high, lincoln great, lincoln academy, elementary, staff"
80,708,0.0011,70.0,"academy, dms, academy great, learning, love, children, students, great, staff, best"
81,704,0.0011,77.3,"woodland, forest, woods, woodlands, forest hills, woodside, hills, forest view, woodland elementary, forest park"
82,685,0.0011,95.7,"jewish, hebrew, secular, jewish day, schechter, day school, studies, jewish education, judaism, tehiyah"
84,677,0.0011,70.4,"stem, stem program, stem school, stem academy, program, science, engineering, school stem, science technology, technology"
83,677,0.0011,85.6,"holy, holy family, holy spirit, angels, family, holy angels, spirit, holy child, catholic, school holy"
85,674,0.0011,103.2,"phoenix, arizona, tucson, scottsdale, az, azva, basis, sonoran, phoenix ranch, schools"
86,667,0.0011,87.9,"florida, tampa, fl, jacksonville, state florida, schools, orlando, best, fla, flvs"
87,657,0.0011,82.9,"jcs, jca, jhs, jds, jms, jgs, jcds, jma, jchs, jmps"
88,653,0.0011,88.6,"green, greene, greenbrier, green acres, acres, greene school, vale, green vale, greenhills, green fields"
89,629,0.001,18.9,"care, great, best, children, hait, students, education, help, hait hait, teachers"
90,625,0.001,87.3,"grace, grace christian, christian, grace school, christian school, love grace, lady grace, grace academy, attended grace, school grace"
91,611,0.001,96.2,"wca, wcs, wellington, wccs, wcds, christian, wce, wc, years, children"
92,606,0.001,94.2,"sjs, sja, sjb, sjcs, sje, sjv, ssj, community, family, sjn"
93,597,0.001,71.8,"north, northside, northridge, northfield, northview, north star, northeast, northwood, high, high school"
94,594,0.001,89.9,"cms, camden, cma, cmp, camden military, military academy, corvian, cmit, military, son"
95,592,0.001,85.4,"ocs, oca, oes, osl, osls, oceaa, osage, ovca, odcs, ocasa"
97,591,0.001,75.9,"bhs, bms, bls, bma, bhhs, blythe, students, bga, college, great"
96,591,0.001,83.8,"jefferson, jefferson elementary, thomas jefferson, jefferson school, thomas, qas, quail, school jefferson, staff, elementary"
98,583,0.0009,67.3,"private, private school, public, public school, private schools, school, schools, small, like private, education"
99,578,0.0009,73.6,"lewis, clark, lewis school, clarksville, elementary, rowe, high, roseville, lewis clark, springville"
100,570,0.0009,91.6,"lca, lcs, lccs, christian, lc, lchs, lcms, family, love lca, lcta"
101,557,0.0009,85.5,"ridge, ridgeview, ridgeway, ridgeline, fossil, stone ridge, blue ridge, ridge elementary, ridge school, stone"
102,557,0.0009,89.4,"franklin, fra, franklin academy, franklin school, benjamin, franklin elementary, ben franklin, school franklin, benjamin franklin, ben"
103,543,0.0009,91.1,"islamic, islamic school, arabic, muslim, quran, al, islamic environment, islamic studies, islam, allah"
104,534,0.0009,79.3,"river, riverview, rivers, riverbend, riverhill, waters, students, river school, little river, community"
105,532,0.0009,93.0,"drugs, drug, drug problem, drug use, problem, drugs school, use, alcohol, high, students"
106,526,0.0009,102.6,"summit, everest, summit school, tindley, summit academy, school summit, tahoma, everest academy, academy, love summit"
