topic_id,size,share,mean_words,keywords
68,83,0.0012,91.5,"bishop, luers, dunne, chatard, bishop luers, bishop dunne, eustace, verot, bishop chatard, bishop kelley"
69,83,0.0012,69.6,"tc, alexandria, williams, university, tc williams, virginia, scholarship fund, college, facilities, impressive"
70,82,0.0012,47.4,"small, small town, small school, town, community, school small, rural, school, town rural, great"
71,79,0.0011,85.5,"lincoln, lincoln high, lhs, high, school lincoln, student lincoln, school, high school, students, lincoln park"
72,76,0.0011,37.0,"teachers, care, students, don, teachers don, care students, teach, students teachers, don care, just"
73,76,0.0011,92.0,"ahs, schools, great, teachers, school ahs, prepared, ahs great, college, high, ashland"
74,76,0.0011,76.1,"lake, lakeview, lakes, lake view, students, school, great, teachers, high, high school"
75,75,0.0011,11.5,"experience, great experience, great, good experience, wonderful experience, experience good, experience kids, far, experience children, experiences"
76,67,0.001,37.6,"la, que, escuela, en, los, es, el, esta, por, mi"
77,67,0.001,103.8,"franklin, towne, elsie, franklin high, elsie allen, franklin towne, allen, high, school, students"
78,65,0.0009,71.7,"rude, office, staff, office staff, staff rude, lady, unprofessional, people, desk, speak"
79,64,0.0009,67.2,"shs, shs great, love shs, school shs, shs amazing, shs good, great, children, school, teachers"
80,64,0.0009,110.1,"fcs, christian, fayetteville, children, love, family, god, fayetteville christian, christ, staff"
81,62,0.0009,62.5,"rotc, jrotc, jrotc program, program, rotc program, awesome, military, instructors, cadets, son"
82,57,0.0008,110.4,"nhs, norwalk, student nhs, school, great, student, teachers, hard, high, really"
83,55,0.0008,70.5,"cliques, clique, friends, cliquey, people, like, nice, make friends, ve, hc"
84,52,0.0008,102.6,"hamilton, tech center, tech, east hamilton, center, hamilton high, nottingham, kids, school, students"
-1,45125,0.6517,89.4,"school, students, teachers, high, great, high school, kids, student, good, child"
