predictor,n_schools,r_squared,p_quad,quad_coef
bias_parent_ses_hs,11449,0.35375662135103514,1.8077178736423144e-42,1.7609820500386228
ethnicity-White,13958,0.07694987636710315,5.994791229626088e-238,-2.188504248801128e-05
ethnicity_hhi,13956,0.06629554471655352,1.708650061252208e-10,-0.08510194494377427
ethnicity-Black,13958,0.04914106951622954,6.610578724464699e-135,-2.3475151750611793e-05
exposure_own_ses_hs,13958,0.04180591279215129,8.379659321943879e-124,-0.07834378812916881
student-teacher-ratio,13958,0.023382615289695763,2.618732939732004e-17,-2.3046840675120547e-05
