Topic,Words,Frequency,Class
105,"franklin, franklin towne, towne, love franklin, towne charter",19,low_fb
106,"echs, ecs, threatening thing, attends ecta, isn threatening",5,low_fb
107,"scs, sca, sc, scds, sca offers",18,low_fb
108,"bc high, bc, bch, bca, bcs",20,low_fb
109,"great experience, experience, good experience, great awesome, experience far",23,low_fb
110,"connor, ocs, sandra day, oologah, ocsa",19,low_fb
111,"st john, john, st, john high, john prep",12,low_fb
112,"pchs, pca, ndp, pc, pcs",35,low_fb
113,"cma, cmi, cms, cma great, school cma",30,low_fb
114,"north, northside, north point, north star, northridge",52,low_fb
115,"hcs, hca, hchs, attended hcs, recommend hcs",12,low_fb
116,"gac, georgia, gacs, ga, atlanta",41,low_fb
117,"best school, best, school best, booker, nice mention",23,low_fb
118,"drugs, drug, drug problem, drug use, problem",92,low_fb
119,"jefferson, jefferson high, thomas jefferson, thomas, cb schools",13,low_fb
120,"liberty, liberty high, liberty hs, school liberty, liberty liberty",22,low_fb
122,"madison, madison high, school madison, madison great, huntsville",48,low_fb
123,"heritage, heritage high, heritage academy, american heritage, atrisco heritage",25,low_fb
124,"new principal, dr richard, richard, dr, new",21,low_fb
125,"st peter, peter, academics hockey, compared notch, unlike 19",1,low_fb
126,"tca, tc, tchs, tcs, love tca",19,low_fb
127,"county, loudoun, loudoun county, school county, best county",27,low_fb
129,"vista, lago, del lago, vista del, del",34,low_fb
130,"lnc, lms, ls3, classes hunter, serve 10",11,low_fb
131,"ncs, nca, nrca, nc, ncp",26,low_fb
132,"jhs, johnson high, experience jhs, jmhs, jmc",17,low_fb
133,"canyon, copper, copper canyon, potts, american canyon",10,low_fb
134,"washington, washington school, washington high, west washington, washington county",16,low_fb
135,"la, la cueva, cueva, laquey, cueva deserves",11,low_fb
136,"east, eastern, egr, east duplin, eastside",35,low_fb
137,"francis, st francis, st, desales, francis desales",32,low_fb
138,"sma, smcc, sm, smhs, smchs",29,low_fb
139,"ipads, ipad, chromebook, chromebooks, laptops",33,low_fb
140,"dyslexia, iac, dyslexic, hamilton crush, children iahs",5,low_fb
141,"wilson, mr wilson, best math, school wilson, wilson best",8,low_fb
142,"bryan, bryan high, problems, svhs 2002, president svhs",15,low_fb
143,"hillsdale, lawndale, riverdale, hillsdale high, fairdale",24,low_fb
144,"experience school, experience, great experience, excellent experience, school experience",23,low_fb
145,"eagle, eagle academy, eagles, choiced child, attends eagle",15,low_fb
147,"mvhs, vistia, mvcs, nrca, mvca",13,low_fb
148,"instruction padua, past expectation, seen succeed, collectively friendly, forefront including",6,low_fb
149,"brook, brookfield, north brookfield, brookwood, mountain brook",4,low_fb
150,"king, kings, christ king, king drew, king academy",21,low_fb
151,"calvary, calvary christian, cca, christian, calvary baptist",23,low_fb
152,"st thomas, thomas, st, thomas aquinas, aquinas",12,low_fb
153,"fcs, fca, fchs, love fcs, fayetteville",50,low_fb
154,"ics, ics happy, year ics, curriricular activities, recommend enjoyable",2,low_fb
155,"mcauley, mca, mcas, mcauliffe, experience mcauley",18,low_fb
156,"st patrick, patrick, teams strive, learns faith, steps curriculum",6,low_fb
157,"maritime, proud searider, searider, ocean, oceana",6,low_fb
158,"school awesome, place filled, state championships, school fun, school pushes",21,low_fb
159,"iolani, punahou, hawaii, hawaiian, radford",29,low_fb
160,"ca, california, cal, sacramento, cal years",14,low_fb
161,"average, average school, school average, average teachers, just average",24,low_fb
162,"bay, bay view, bay high, beach, view",25,low_fb
163,"blue, blue ribbon, ribbon, ribbon school, national blue",19,low_fb
164,"msa, excellent excellent, suspension productive, avenues offered, quality manatee",8,low_fb
165,"german, gbh, goethe, germany, did job",5,low_fb
166,"hate school, hate, hated, hated school, school hate",30,low_fb
167,"disappointed, disappointed school, fraser, biology school, disappointment",20,low_fb
168,"high school, high, college, girls high, outstanding high",62,low_fb
169,"horrible horrible, support poor, horrible, administration horrible, administration",23,low_fb
170,"kipp, kisd, sucks idea, minimise hours, avail family",6,low_fb
172,"roosevelt, rhs, discussing high, rhs coming, terribley online",2,low_fb
173,"saints, sanford, today observation, love alumnus, rules formulas",6,low_fb
174,"providence, providence catholic, providence academy, providence high, years providence",31,low_fb
175,"vegas, las vegas, las, nevada, school las",21,low_fb
176,"mr potts, potts, potts picked, enthusiasm clerks, advice ways",8,low_fb
177,"esj, ese, consistency continuation, clueless petty, continuation programs",3,low_fb
178,"glencliff, glenelg, glencoe, glenwood, glen",10,low_fb
179,"dc, dcc, dchs, dcs, dca",21,low_fb
180,"math, math department, harmon, department, harmon great",18,low_fb
181,"counselors, counselor, counseling, guidance, counseling department",52,low_fb
182,"evergreen, evergreen park, clothes, school evergreen, enrollement courses",5,low_fb
183,"pine, pine view, view, pinewood, view school",21,low_fb
184,"rchs, rc, rcs, rchs great, impressed rcs",15,low_fb
185,"academy middle, pressures pitfalls, exceeding crct, freshan, jr happy",3,low_fb
186,"manhattan bridges, bridges, bridge, manhattan, displine create",5,low_fb
187,"clean, gphs, safe, people apply, tidy dedicated",14,low_fb
188,"miami, dade, school miami, miami dade, miami central",22,low_fb
189,"jersey, nj, njsp, njrotc, new jersey",18,low_fb
190,"best school, school best, greatest school, best, hawaii davis",15,low_fb
191,"pius, st pius, st, pius school, pius excellent",12,low_fb
193,"substitute, substitute teacher, sub, subbed, substitute teachers",18,low_fb
194,"edison, edison great, edison high, la reina, reina",16,low_fb
195,"beggs, improvement, improve, school improve, improve getting",20,low_fb
196,"ivy, ivy league, league, league schools, tesoro",13,low_fb
197,"gay, lgbtq, lgbt, trans, edgewood",31,low_fb
198,"saint marks, marks, st mark, tolerated perfect, molds pay",2,low_fb
199,"great place, place, place students, place work, work learn",16,low_fb
200,"celina, celina growth, arent recieving, discipline supportive, smartly planning",3,low_fb
202,"cambridge, local university, cambridge program, cambridge academy, dixie",5,low_fb
203,"notre dame, notre, dame, nda, dame academy",30,low_fb
204,"loves development, fair problems, educationally friends, development educationally, arose children",4,low_fb
205,"tecumseh, chose big, pursuit desire, attend tecumseh, places tecumseh",1,low_fb
206,"honor roll, roll, honor, houma la, la yerars",4,low_fb
207,"woodland, woodlands, woodlands offers, woodlands high, engineer",5,low_fb
208,"horizon, horizon growing, rocori, horizon science, staff marvalous",5,low_fb
209,"central, central high, love central, student central, roman",36,low_fb
210,"hamilton, tech center, alexander, east hamilton, love hamilton",36,low_fb
211,"cedar, cedar park, park, cedarwood, cedarville",11,low_fb
212,"shepherd, good shepherd, shepherd years, michigan population, couple hispanics",4,low_fb
213,"pvhs, pv, pvi, pine view, pves",13,low_fb
214,"graduate respected, center treat, participation effort, unfortunately requires, respected engineering",1,low_fb
215,"words words, words, sd sd, love love, sd",17,low_fb
216,"rockmart, rock, vidalia, polk county, run run",5,low_fb
217,"woodson, forest, woods, forest hills, forest park",16,low_fb
218,"foshay, ftch, ftchs, love foshay, graduated ftch",11,low_fb
219,"westminster, westminster academy, pardes, kids westminster, westminster christian",20,low_fb
220,"aae, aacs, aa, aaec, attended aae",18,low_fb
221,"hispanic, hispanics, parcc, fits welcoming, shoved parcc",10,low_fb
222,"clovis, cls, fbi wall, shots navigate, mere afterthought",3,low_fb
223,"seed, dphs, seed pcs, discovery, pcs",2,low_fb
224,"smiths station, smithville, smiths, bruce, smith",8,low_fb
226,"carver, carver high, speyer, talent realize, attending carver",11,low_fb
227,"ratio, teacher ratio, student teacher, offered inexperienced, accurate estimate",7,low_fb
229,"chaminade, chapin, cha, chaparral, family spirit",14,low_fb
230,"crestline, crestwood, crestline high, crestview, strawberry crest",10,low_fb
231,"fairview, fairless, feel fairless, ib, fhs",12,low_fb
232,"kcc, bk, harmon, combined familiarity, harmon heart",5,low_fb
233,"salem, salem salem, link medicaid, upgrading really, snoody right",4,low_fb
234,"san, diego, san diego, san jose, jose",14,low_fb
236,"vvec, vvec couldn, vvec builds, attend vvec, school vvec",1,low_fb
237,"desert, desert hills, desert oasis, oasis, desert edge",17,low_fb
238,"mps, mp, mpa, reagan, mphs",4,low_fb
239,"small town, town school, town, small, small school",18,low_fb
240,"cps, northside, cps school, chance lifeguard, accepted northside",3,low_fb
241,"stars, zero stars, rating ye, ye stars, option rating",7,low_fb
